timestamp,x,y,theta
1684870111.715436,746.3194245692051,-304.2171306361454,-0.8604199422376172
1684870111.740301,746.3770485450499,-304.28409571784516,-0.8602334802622811
1684870111.766001,746.436872193641,-304.3535913387306,-0.8600505984053628
1684870111.790821,746.494658618311,-304.4206976904312,-0.8598835343840139
1684870111.81579,746.5528190595271,-304.4882154286343,-0.8597154689703004
1684870111.840527,746.6104342633805,-304.5550785464149,-0.8595552961204068
1684870111.865506,746.6689002741947,-304.62290772518423,-0.8593999524898546
1684870111.890902,746.7284364533587,-304.6919568556624,-0.8592452647922055
1684870111.915653,746.7865511536668,-304.75933683136765,-0.8590944820172803
1684870111.94072,746.845499785968,-304.8276639273524,-0.8589514241290109
1684870111.965601,746.9041014418558,-304.89556934367505,-0.8588094040312784
1684870111.99074,746.9633210949122,-304.96417096767334,-0.8586659100861566
1684870112.0155,747.0218512619955,-305.0319549374015,-0.8585277492423073
1684870112.040666,747.0815154115737,-305.101032559887,-0.8583872976026551
1684870112.066059,747.142059577684,-305.1711089611394,-0.85824555382538
1684870112.09125,747.2021479379309,-305.2406380277616,-0.8581049386110322
1684870112.116117,747.2614735217197,-305.30926521774853,-0.857966130694391
1684870112.141162,747.3213477608705,-305.3785075179648,-0.8578263299617783
1684870112.166644,747.3823773889445,-305.4490656907251,-0.8576840629634873
1684870112.192036,747.4433999361667,-305.51959546685237,-0.8575423004486576
1684870112.217995,747.5058809842313,-305.591789823931,-0.8573973453094975
1684870112.242688,747.5654208794006,-305.6605675109365,-0.8572658056333081
1684870112.267384,747.624993462944,-305.72936466593956,-0.8571342494463937
1684870112.292977,747.6868399027038,-305.80076809693315,-0.8569978897166268
1684870112.317135,747.7454011989192,-305.8683611563126,-0.8568691758875863
1684870112.34245,747.8072897428259,-305.9397760829648,-0.856740753867151
1684870112.367543,747.868891764761,-306.0108420994951,-0.8566134315862672
1684870112.392971,747.9314920095106,-306.0830408701893,-0.8564843841984289
1684870112.417992,747.9932632835591,-306.1542652888938,-0.8563574022367018
1684870112.442259,748.0535311624573,-306.2237389498446,-0.8562342231566923
1684870112.467639,748.1167387611885,-306.29658240177827,-0.856105369423868
1684870112.492647,748.1791931124978,-306.3685393134635,-0.8559783789868372
1684870112.517651,748.2418109927653,-306.44066613329016,-0.855851407920839
1684870112.542766,748.3047980862782,-306.5131995456136,-0.8557238738842027
1684870112.568006,748.3681078430367,-306.58608565215985,-0.855595705446245
1684870112.593219,748.4313593437504,-306.6588858619523,-0.8554676738162058
1684870112.619044,748.4961559896948,-306.7334447274361,-0.8553365343461055
1684870112.64409,748.5591712072552,-306.80593514903853,-0.8552093263635653
1684870112.66927,748.6226325981469,-306.8789199786969,-0.8550814366285818
1684870112.694539,748.6864933499736,-306.95234506269514,-0.8549530699484366
1684870112.719432,748.7495764287734,-307.02485748242026,-0.8548266132776755
1684870112.744881,748.8144449932411,-307.09940280162124,-0.85469728248048
1684870112.769734,748.8780651217412,-307.1724948017277,-0.8545709547266978
1684870112.794766,748.9424159591672,-307.24640730370874,-0.8544436918177623
1684870112.819539,749.0063702283086,-307.3198465783534,-0.8543241119632738
1684870112.844651,749.0717359597115,-307.3948882719016,-0.8542028465321082
1684870112.869515,749.1367265259314,-307.4694811762604,-0.8540827536132354
1684870112.89461,749.2024949621406,-307.54494841017026,-0.8539615448310394
1684870112.919618,749.268241606788,-307.6203722398781,-0.8538407313609142
1684870112.944874,749.334982014485,-307.6969172424801,-0.8537186936106701
1684870112.969264,749.399634604498,-307.7710500702332,-0.8536008168265838
1684870112.994316,749.4662161506913,-307.8473760459788,-0.8534797401692886
1684870113.019209,749.5325472025249,-307.92339639849035,-0.8533594083402176
1684870113.044318,749.5998105038722,-308.0004662896336,-0.8532380060706158
1684870113.069126,749.6664557394332,-308.0768095148547,-0.8531180349211712
1684870113.09475,749.7355728366585,-308.1559644937224,-0.8529940914552231
1684870113.120029,749.8039518375116,-308.234254858185,-0.8528718167140503
1684870113.145084,749.872327449846,-308.312522188427,-0.8527505758998414
1684870113.170872,749.9429005245509,-308.39328453496705,-0.852625761646988
